PlaceID,Cuisine
135106,Mexican
135088,Cafeteria
135086,Burgers
135086,Fast_Food
135085,Fast_Food
135074,Contemporary
135073,Bar
135073,Bar_Pub_Brewery
135071,Bar
135071,Bar_Pub_Brewery
135069,Bar
135060,Seafood
135059,Bar
135057,Bar
135054,Seafood
135052,Bar
135052,Bar_Pub_Brewery
135049,Seafood
135048,Bar
135046,Fast_Food
135043,Fast_Food
135043,Pizzeria
135042,Chinese
135041,Bar
135041,Cafeteria
135034,Japanese
135032,Cafeteria
135032,Contemporary
135028,Mexican
135027,Mexican
135026,Bar
135026,Bar_Pub_Brewery
135025,Mexican
135018,Mexican
134999,Japanese
134986,International
134983,Bar
134983,Bar_Pub_Brewery
132955,Bar_Pub_Brewery
132954,Breakfast-Brunch
132937,Bar
132885,Cafeteria
132870,Burgers
132862,International
132861,Burgers
132858,Burgers
132856,Italian
132854,International
132825,Mexican
132773,Family
132773,Mexican
132768,Family
132767,Vietnamese
132766,Japanese
132755,Mexican
132732,Mexican
132667,Armenian
132630,Mexican
132613,Mexican
132609,Fast_Food
